,name,rating,ctype,hq,old,employees
276,Infosys,3.9,Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
277,Capgemini,3.9,Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
278,Tech Mahindra,3.7,Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
279,Genpact,4.0,Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
280,HCLTech,3.8,Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
281,Amazon,4.2,Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
282,Axis Bank,3.9,Public,"Mumbai,Maharashtra + 1129 more",30 years old,50k-1 Lakh Employees (India)
283,Concentrix Corpo...,4.0,Public,"Fremont,California + 71 more",40 years old,10k-50k Employees (India)
284,IBM,4.2,Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
285,Reliance Jio,4.0,Public,"Navi Mumbai,Maharashtra + 1022 more",16 years old,50k-1 Lakh Employees (India)
286,Larsen & Toubro ...,4.1,Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
287,HDB Financial Se...,4.0,Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
288,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
289,Teleperformance,3.6,Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
290,Reliance Retail,4.1,Private,"Navi Mumbai,Maharashtra + 742 more",17 years old,1 Lakh+ Employees (India)
291,Kotak Mahindra B...,3.9,Public,"Mumbai,Maharashtra + 484 more",20 years old,10k-50k Employees (India)
292,Reliance Industr...,4.1,Public,"Navi Mumbai,Maharashtra + 524 more",50 years old,10k-50k Employees (India)
293,Deloitte,4.1,Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
294,Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana + 542 more",28 years old,10k-50k Employees (India)
295,BYJU'S,3.4,Private,"Bangalore,Karnataka + 265 more",12 years old,1k-5k Employees (India)
296,Tata Motors,4.1,Public,"Pune,Maharashtra + 395 more",78 years old,10k-50k Employees (India)
297,Flipkart,4.2,Public,"Bangalore,Karnataka + 466 more",16 years old,10k-50k Employees (India)
298,WNS,3.7,Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
299,IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 579 more",29 years old,10k-50k Employees (India)
