,name,rating,ctype,hq,old,employees
119,IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 579 more",29 years old,10k-50k Employees (India)
120,TCS,3.9,Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
121,Accenture,4.1,Public,Dublin + 134 more,34 years old,1 Lakh+ Employees (India)
122,Cognizant,4.0,Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
123,ICICI Bank,4.0,Public,"Mumbai,Maharashtra + 1076 more",29 years old,1 Lakh+ Employees (India)
124,HDFC Bank,4.0,Public,"Mumbai,Maharashtra + 1298 more",29 years old,50k-1 Lakh Employees (India)
125,Wipro,3.9,Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
126,Infosys,3.9,Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
127,Capgemini,3.9,Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
128,Tech Mahindra,3.7,Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
129,Genpact,4.0,Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
130,HCLTech,3.8,Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
131,Amazon,4.2,Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
132,Axis Bank,3.9,Public,"Mumbai,Maharashtra + 1129 more",30 years old,50k-1 Lakh Employees (India)
133,Concentrix Corpo...,4.0,Public,"Fremont,California + 71 more",40 years old,10k-50k Employees (India)
134,IBM,4.2,Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
135,Reliance Jio,4.0,Public,"Navi Mumbai,Maharashtra + 1022 more",16 years old,50k-1 Lakh Employees (India)
136,Larsen & Toubro ...,4.1,Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
137,HDB Financial Se...,4.0,Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
138,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
