,batsman,batsman_runs
394,ST Jayasuriya,768
395,STR Binny,766
396,SV Samson,1426
397,SW Billings,226
398,SW Tait,23
399,Sachin Baby,137
400,Salman Butt,193
401,Sandeep Sharma,26
402,Shahid Afridi,81
403,Shakib Al Hasan,500
404,Shivam Sharma,5
405,Shoaib Ahmed,1
406,Shoaib Akhtar,2
407,Shoaib Malik,52
408,Sohail Tanvir,36
409,Sunny Gupta,0
410,Sunny Singh,43
411,Swapnil Singh,12
412,T Henderson,11
413,T Kohli,11
414,T Taibu,31
415,T Thushara,12
416,TA Boult,5
417,TD Paine,10
418,TG Southee,54
419,TL Suman,676
420,TM Dilshan,1153
421,TM Head,205
422,TM Srivastava,8
423,TR Birt,75
424,TS Mills,8
425,U Kaul,0
426,UA Birla,7
427,UBT Chand,300
428,UT Khawaja,127
429,UT Yadav,94
430,Umar Gul,39
431,V Kohli,4423
432,V Pratap Singh,0
433,V Sehwag,2728
434,V Shankar,101
435,VH Zol,29
436,VR Aaron,46
437,VRV Singh,4
438,VS Malik,7
439,VS Yeligati,2
440,VVS Laxman,282
441,VY Mahesh,15
442,Vishnu Vinod,19
443,W Jaffer,130
444,WA Mota,56
445,WD Parnell,63
446,WP Saha,1557
447,WPUJC Vaas,81
448,Washington Sundar,9
449,X Thalaivan Sargunam,10
450,Y Gnaneswara Rao,19
451,Y Nagar,285
452,Y Venugopal Rao,985
453,YA Abdulla,0
454,YK Pathan,2922
455,YS Chahal,15
456,YV Takawale,192
457,Yashpal Singh,47
458,Younis Khan,3
459,Yuvraj Singh,2591
460,Z Khan,117
